City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
258,Chuy,UY,-33.7,-53.46,68.58,88,85,11.9,overcast clouds
259,Lagoa,PT,39.05,-27.98,61.29,80,34,26.44,scattered clouds
260,Awjilah,LY,29.11,21.29,58.06,62,4,6.89,clear sky
261,Dingle,PH,11.0,122.67,78.22,89,99,2.51,overcast clouds
262,Merrill,US,45.18,-89.68,39.2,51,1,4.7,clear sky
263,Torbay,CA,47.67,-52.73,53.6,100,90,21.92,light intensity drizzle
264,Bourail,NC,-21.57,165.48,82.81,43,0,5.66,clear sky
265,Victoria,HK,22.29,114.16,62.01,70,6,1.01,clear sky
266,Iqaluit,CA,63.75,-68.51,15.8,78,75,5.82,broken clouds
267,Voi,KE,-3.39,38.56,71.89,90,100,1.77,light rain
268,Dakar,SN,14.69,-17.44,73.4,78,0,11.41,clear sky
269,Boromo,BF,11.75,-2.93,76.98,18,2,4.47,clear sky
270,Saskylakh,RU,71.92,114.08,16.34,96,100,12.62,light snow
271,Pingliang,CN,35.54,106.69,18.75,94,100,1.41,light snow
272,Elizabeth City,US,36.29,-76.25,46.0,60,1,6.93,clear sky
273,Necochea,AR,-38.55,-58.74,61.0,83,45,4.0,scattered clouds
274,Alofi,NU,-19.06,-169.92,84.2,79,75,10.29,broken clouds
275,Pathein,MM,16.78,94.73,71.91,77,2,3.0,clear sky
276,Tonantins,BR,-2.87,-67.8,77.72,83,73,3.04,broken clouds
277,Sao Filipe,CV,14.9,-24.5,75.07,76,69,9.08,broken clouds
278,Ola,RU,59.58,151.28,11.53,94,100,7.74,overcast clouds
279,Saldanha,ZA,-33.01,17.94,57.2,71,0,9.17,clear sky
280,Kununurra,AU,-15.77,128.73,77.0,100,15,8.05,light rain
281,Jeremoabo,BR,-10.07,-38.48,75.92,74,40,12.21,scattered clouds
282,Liepaja,LV,56.54,21.04,26.6,86,58,8.05,broken clouds
283,Sibolga,ID,1.74,98.78,75.88,79,54,3.56,broken clouds
284,Geraldton,AU,-28.77,114.6,59.0,82,0,10.29,clear sky
285,Kruisfontein,ZA,-34.0,24.73,55.0,90,0,4.83,clear sky
286,Carroll,US,39.55,-77.02,41.0,44,1,9.17,clear sky
287,Half Moon Bay,US,37.46,-122.43,64.4,67,1,12.75,clear sky
288,Souillac,MU,-20.52,57.52,77.0,94,75,5.82,shower rain
289,Camana,PE,-16.62,-72.71,66.42,75,100,4.81,overcast clouds
290,Meulaboh,ID,4.14,96.13,76.1,85,92,3.71,overcast clouds
291,Camacupa,AO,-12.02,17.48,62.56,98,100,5.37,moderate rain
292,Codrington,AU,-38.27,141.97,57.06,58,20,5.44,few clouds
293,Port Augusta,AU,-32.5,137.77,73.99,60,58,8.05,broken clouds
294,Moron,AR,-34.65,-58.62,68.0,93,90,11.41,moderate rain
295,Constitucion,CL,-35.33,-72.42,59.36,70,0,20.36,clear sky
296,Kutum,SD,14.2,24.67,59.67,31,0,6.6,clear sky
297,Hobyo,SO,5.35,48.53,77.68,78,85,10.42,overcast clouds
298,Jishui,CN,33.73,115.4,33.12,92,95,6.98,overcast clouds
299,San Jose,US,37.34,-121.89,66.0,36,75,5.82,broken clouds
300,Arman,RU,59.7,150.17,10.4,94,91,9.01,light snow
301,Yeppoon,AU,-23.13,150.73,82.4,54,40,12.75,scattered clouds
302,Waddan,LY,29.16,16.14,56.97,44,0,2.01,clear sky
303,Rumford,US,44.55,-70.55,35.01,94,100,4.0,overcast clouds
304,Vila Velha,BR,-20.33,-40.29,75.99,94,40,13.87,thunderstorm with light rain
305,Puerto Ayacucho,VE,5.66,-67.62,79.34,85,78,6.87,broken clouds
306,Barra,BR,-11.09,-43.14,79.74,54,22,3.27,few clouds
307,Khromtau,KZ,50.25,58.43,0.21,94,74,11.14,broken clouds
308,Miramar,US,25.99,-80.23,70.0,56,1,12.75,clear sky
309,Adrar,MR,20.5,-10.07,79.56,20,69,8.59,broken clouds
310,Zhezkazgan,KZ,47.8,67.71,3.2,94,45,4.65,scattered clouds
311,Paamiut,GL,61.99,-49.67,23.41,72,8,8.1,clear sky
312,Hovd,MN,48.01,91.64,4.32,91,60,1.41,broken clouds
313,Avera,US,33.19,-82.53,48.2,49,1,1.72,clear sky
314,Praya,CV,14.92,-23.51,73.4,69,20,10.29,few clouds
315,Mehamn,NO,71.04,27.85,34.97,85,98,18.25,overcast clouds
316,Merauke,ID,-8.47,140.33,79.23,85,100,8.23,moderate rain
317,Porkhov,RU,57.77,29.56,30.2,80,90,4.47,overcast clouds
318,Norsup,VU,-16.07,167.38,80.6,83,90,5.82,moderate rain
319,Bac Lieu,VN,9.29,105.72,76.26,78,8,14.52,clear sky
320,Evansville,US,37.97,-87.56,46.4,33,1,0.94,clear sky
321,Mozarlandia,BR,-14.74,-50.57,81.59,47,30,5.35,scattered clouds
322,Ankang,CN,32.68,109.02,37.0,44,100,14.0,overcast clouds
323,Byumba,RW,-1.58,30.07,55.36,100,100,3.74,overcast clouds
324,Eureka,US,40.8,-124.16,57.99,87,75,3.36,mist
325,Bonthe,SL,7.53,-12.51,79.21,83,40,5.93,scattered clouds
326,Pinsk,BY,52.12,26.1,28.47,98,94,6.11,overcast clouds
327,Santa Rosa,PH,14.31,121.11,80.6,83,75,2.01,broken clouds
328,La Rioja,ES,42.25,-2.5,44.01,81,90,6.93,overcast clouds
329,Vilhena,BR,-12.74,-60.15,77.0,73,0,6.93,clear sky
330,Baherden,TM,38.44,57.43,40.15,70,58,3.53,broken clouds
331,Hualmay,PE,-11.1,-77.61,67.6,78,80,8.9,broken clouds
332,Barra Do Corda,BR,-5.5,-45.25,77.05,81,100,3.71,overcast clouds
333,Shirvan,AZ,39.95,48.9,47.93,74,76,5.59,broken clouds
334,Bahraich,IN,27.58,81.6,55.0,61,0,1.01,clear sky
335,Polewali,ID,-3.43,119.34,79.34,70,64,2.53,broken clouds
336,Jakar,BT,27.55,90.75,39.24,74,100,0.29,overcast clouds
337,San Juan Tecuaco,GT,14.08,-90.26,86.0,64,20,6.93,few clouds
338,Eskisehir,TR,39.78,30.52,33.8,100,8,3.36,mist
339,Broome,US,42.25,-75.83,33.8,59,1,18.34,clear sky
340,Phan Thiet,VN,10.93,108.1,69.67,79,7,6.4,clear sky
341,Tessalit,ML,20.2,1.01,72.55,22,18,10.45,few clouds
342,Miandoab,IR,36.97,46.1,29.37,94,0,1.57,clear sky
343,Shu,KZ,43.6,73.76,34.0,78,100,5.99,overcast clouds
